"REF_DATE","GEO","DGUID","Age group","Sex","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Toronto, Ontario","2011S0503535","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107689654","17.1.1.1.1","5007","A","","","0"
"2014","Toronto, Ontario","2011S0503535","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107689654","17.1.1.1.1","5044","A","","","0"
"2015","Toronto, Ontario","2011S0503535","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107689654","17.1.1.1.1","5063","A","","","0"
"2016","Toronto, Ontario","2011S0503535","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107689654","17.1.1.1.1","5179","A","","","0"
"2017","Toronto, Ontario","2011S0503535","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107689654","17.1.1.1.1","5265","A","","","0"
"2013","Toronto, Ontario","2011S0503535","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107689655","17.1.1.1.2","4799","A","","","0"
"2014","Toronto, Ontario","2011S0503535","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107689655","17.1.1.1.2","4866","A","","","0"
"2015","Toronto, Ontario","2011S0503535","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107689655","17.1.1.1.2","4873","A","","","0"
"2016","Toronto, Ontario","2011S0503535","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107689655","17.1.1.1.2","4978","A","","","0"
"2017","Toronto, Ontario","2011S0503535","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107689655","17.1.1.1.2","5126","A","","","0"
"2013","Toronto, Ontario","2011S0503535","16 years and over","Both sexes","Total income","Aggregate income","2017 constant dollars","387","millions","6","v107689656","17.1.1.1.3","215414","B","","","0"
"2014","Toronto, Ontario","2011S0503535","16 years and over","Both sexes","Total income","Aggregate income","2017 constant dollars","387","millions","6","v107689656","17.1.1.1.3","222438","B","","","0"
"2015","Toronto, Ontario","2011S0503535","16 years and over","Both sexes","Total income","Aggregate income","2017 constant dollars","387","millions","6","v107689656","17.1.1.1.3","224828","A","","","0"
"2016","Toronto, Ontario","2011S0503535","16 years and over","Both sexes","Total income","Aggregate income","2017 constant dollars","387","millions","6","v107689656","17.1.1.1.3","236800","B","","","0"
"2017","Toronto, Ontario","2011S0503535","16 years and over","Both sexes","Total income","Aggregate income","2017 constant dollars","387","millions","6","v107689656","17.1.1.1.3","248701","A","","","0"
"2013","Toronto, Ontario","2011S0503535","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2017 constant dollars","387","units ","0","v107689657","17.1.1.1.4","44900","B","","","0"
"2014","Toronto, Ontario","2011S0503535","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2017 constant dollars","387","units ","0","v107689657","17.1.1.1.4","45700","B","","","0"
"2015","Toronto, Ontario","2011S0503535","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2017 constant dollars","387","units ","0","v107689657","17.1.1.1.4","46100","A","","","0"
"2016","Toronto, Ontario","2011S0503535","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2017 constant dollars","387","units ","0","v107689657","17.1.1.1.4","47600","B","","","0"
"2017","Toronto, Ontario","2011S0503535","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2017 constant dollars","387","units ","0","v107689657","17.1.1.1.4","48500","A","","","0"
"2013","Toronto, Ontario","2011S0503535","16 years and over","Both sexes","Total income","Median income (excluding zeros)","2017 constant dollars","387","units ","0","v107689658","17.1.1.1.5","30900","B","","","0"
"2014","Toronto, Ontario","2011S0503535","16 years and over","Both sexes","Total income","Median income (excluding zeros)","2017 constant dollars","387","units ","0","v107689658","17.1.1.1.5","31600","C","","","0"
"2015","Toronto, Ontario","2011S0503535","16 years and over","Both sexes","Total income","Median income (excluding zeros)","2017 constant dollars","387","units ","0","v107689658","17.1.1.1.5","30500","B","","","0"
"2016","Toronto, Ontario","2011S0503535","16 years and over","Both sexes","Total income","Median income (excluding zeros)","2017 constant dollars","387","units ","0","v107689658","17.1.1.1.5","31500","B","","","0"
"2017","Toronto, Ontario","2011S0503535","16 years and over","Both sexes","Total income","Median income (excluding zeros)","2017 constant dollars","387","units ","0","v107689658","17.1.1.1.5","33600","B","","","0"


