Year,Guideline,InflationRate,Difference
1991,5.4,3.75,1.65
1992,6,2.17,3.83
1993,4.9,1.65,3.25
1994,3.2,0.23,2.97
1995,2.9,1.74,1.16
1996,2.8,2.16,0.64
1997,2.8,0.78,2.02
1998,3,1,2
1999,3,2.63,0.37
2000,2.6,3.2,-0.6
2001,2.9,0.72,2.18
2002,3.9,3.8,0.1
2003,2.9,2.08,0.82
2004,2.9,2.13,0.77
2005,1.5,2.09,-0.59
2006,2.1,1.67,0.43
2007,2.6,2.38,0.22
2008,1.4,1.16,0.24
2009,1.8,1.32,0.48
2010,2.1,2.35,-0.25
2011,0.7,2.3,-1.6
2012,3.1,0.83,2.27
2013,2.5,1.24,1.26
2014,0.8,1.47,-0.67
2015,1.6,1.61,-0.01
2016,2,1.5,0.5
2017,1.5,1.87,-0.37
2018,1.8,1.99,-0.19
2019,1.8,,1.8
